0.90;0.3;0.3;1.0;0.6;0.6;0.3;0.3;0.6;0.3
0.83;1.0;0.3;0.6;0.6;0.3;0.6;0.3;1.0;0.6
0.70;1.0;0.6;0.6;0.3;1.0;0.6;0.6;0.6;0.0
0.85;0.6;0.6;0.6;1.0;0.3;1.0;1.0;1.0;0.0
0.90;0.0;1.0;1.0;0.0;0.6;0.3;0.0;0.0;0.0
0.80;1.0;0.3;1.0;0.3;1.0;0.0;0.3;0.6;0.3
0.75;0.6;0.0;0.0;0.6;0.3;0.3;0.6;1.0;0.3
0.85;0.6;0.6;1.0;1.0;1.0;0.0;0.0;0.0;0.3
0.88;0.6;1.0;0.6;0.6;0.6;0.6;1.0;0.6;0.3
0.93;0.3;0.6;1.0;1.0;0.3;0.0;0.6;1.0;0.0
0.80;0.0;0.6;0.3;1.0;0.6;1.0;1.0;0.0;0.0
0.76;0.3;0.6;0.3;0.6;1.0;0.6;0.0;0.6;0.0
0.95;0.6;0.3;0.6;0.0;0.0;1.0;0.6;0.6;0.0
0.83;0.0;0.6;1.0;0.3;0.6;0.3;0.0;1.0;0.0
0.89;1.0;0.3;1.0;0.6;1.0;0.6;1.0;0.6;0.3
0.82;0.3;0.6;0.6;1.0;0.6;1.0;1.0;1.0;0.3
0.80;0.6;0.0;1.0;0.0;1.0;0.3;0.0;0.0;0.0
0.85;0.6;0.0;0.6;0.6;0.0;1.0;0.0;1.0;0.6
0.86;1.0;0.6;0.6;0.6;1.0;0.6;0.3;1.0;0.0
0.93;0.0;0.6;1.0;1.0;0.6;0.3;0.3;1.0;0.0
0.92;0.0;0.6;0.6;0.6;0.3;0.6;0.3;0.6;0.3
0.93;0.6;0.6;0.0;1.0;1.0;0.3;0.3;0.3;0.0
0.83;1.0;0.3;0.3;0.6;0.3;1.0;0.6;0.6;0.0
0.82;1.0;0.0;1.0;0.3;0.6;0.3;0.6;0.3;0.0
0.96;0.6;0.3;0.6;0.0;0.3;1.0;1.0;0.3;0.0
0.95;0.6;1.0;0.6;1.0;1.0;0.6;0.6;0.6;0.0
0.95;0.6;0.6;1.0;0.3;0.6;1.0;1.0;1.0;0.0
0.95;0.3;0.3;0.6;0.6;0.0;0.0;0.6;0.6;0.0
0.83;0.0;1.0;0.6;0.3;1.0;0.6;0.0;0.3;0.0
0.83;0.0;1.0;1.0;1.0;0.6;1.0;0.3;0.3;0.0
